role,wnid,label,source,prepared
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_5752.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_002.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_4420.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_003.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_1022.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_004.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_8581.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_005.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_10362.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_006.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_28600.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_007.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_12601.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_008.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_9132.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_009.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_16370.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_010.jpg
tile,n03417042,garbage truck,public_data/imagenette2-160/val/n03417042/n03417042_27931.JPEG,public_data/imagenette_mosaic/tiles/n03417042_garbage-truck_011.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_7091.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_000.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_31961.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_001.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_8670.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_002.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_12951.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_003.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_10572.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_004.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_14891.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_005.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_8801.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_006.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_18981.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_007.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_18910.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_008.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_13970.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_009.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_18330.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_010.jpg
tile,n03425413,gas pump,public_data/imagenette2-160/val/n03425413/n03425413_13971.JPEG,public_data/imagenette_mosaic/tiles/n03425413_gas-pump_011.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_7601.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_000.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_8552.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_001.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_3471.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_002.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_10560.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_003.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_16150.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_004.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/ILSVRC2012_val_00042350.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_005.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_3981.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_006.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_4930.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_007.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_5092.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_008.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_4371.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_009.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_5280.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_010.jpg
tile,n03445777,golf ball,public_data/imagenette2-160/val/n03445777/n03445777_13671.JPEG,public_data/imagenette_mosaic/tiles/n03445777_golf-ball_011.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_49081.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_000.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_8160.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_001.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_1100.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_002.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_16991.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_003.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_67480.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_004.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_10402.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_005.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_65922.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_006.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_30270.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_007.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_10721.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_008.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_5551.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_009.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_69371.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_010.jpg
tile,n03888257,parachute,public_data/imagenette2-160/val/n03888257/n03888257_18052.JPEG,public_data/imagenette_mosaic/tiles/n03888257_parachute_011.jpg
